**Table 14.1.3.1.1 Summary of Subject Demographics Safety Population - RP Patients**

Characteristic Statistic/Category | Cohort 1 (N=4) | Cohort 2 (N=3) | Cohort 3 (N=3) | Phase 2 (N=8) | MTD (N=11) | Total (N=18)
|---|---|---|---|---|---|---|
Genetic Diagnosis, n (%) |  |  |  |  |  | 
NR2E3 Mutation | 0 ( 0.0) | 2 ( 66.7) | 2 ( 66.7) | 4 ( 50.0) | 6 ( 54.5) | 8 ( 44.4)
RHO Mutation | 4 (100.0) | 1 ( 33.3) | 1 ( 33.3) | 4 ( 50.0) | 5 ( 45.5) | 10 ( 55.6)
Subgroup - Mutation Subtype, n (%) |  |  |  |  |  | 
Subgroup 1 - Biallelic autosomal recessive NR2E3 mutations | 0 ( 0.0) | 2 ( 66.7) | 1 ( 33.3) | 2 ( 25.0) | 3 ( 27.3) | 5 ( 27.8)
Subgroup 2 - Autosomal dominant NR2E3 mutations | 0 ( 0.0) | 0 ( 0.0) | 1 ( 33.3) | 2 ( 25.0) | 3 ( 27.3) | 3 ( 16.7)
Subgroup 3 - Autosomal dominant RHO mutations | 4 (100.0) | 1 ( 33.3) | 1 ( 33.3) | 4 ( 50.0) | 5 ( 45.5) | 10 ( 55.6)
Age (years) |  |  |  |  |  | 
n | 4 | 3 | 3 | 8 | 11 | 18
Mean | 67.8 | 44.7 | 60.0 | 42.9 | 47.5 | 51.6
Standard deviation | 6.80 | 23.86 | 20.88 | 13.15 | 16.50 | 17.77
Median | 66.5 | 52.0 | 70.0 | 44.0 | 45.0 | 51.5
Minimum | 61 | 18 | 36 | 22 | 22 | 18
Maximum | 77 | 64 | 74 | 66 | 74 | 77
Age group, n (%) |  |  |  |  |  | 
Adult | 4 (100.0) | 3 (100.0) | 3 (100.0) | 8 (100.0) | 11 (100.0) | 18 (100.0)
Pediatric | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0)
Sex, n (%) |  |  |  |  |  | 
Male | 2 ( 50.0) | 1 ( 33.3) | 1 ( 33.3) | 7 ( 87.5) | 8 ( 72.7) | 11 ( 61.1)
Female | 2 ( 50.0) | 2 ( 66.7) | 2 ( 66.7) | 1 ( 12.5) | 3 ( 27.3) | 7 ( 38.9)
Childbearing Potential [1], n (%) |  |  |  |  |  | 
Yes | 0 ( 0.0) | 0 ( 0.0) | 1 ( 50.0) | 1 (100.0) | 2 ( 66.7) | 2 ( 28.6)
No | 2 (100.0) | 2 (100.0) | 1 ( 50.0) | 0 ( 0.0) | 1 ( 33.3) | 5 ( 71.4)
Race, n (%) |  |  |  |  |  | 
White | 4 (100.0) | 2 ( 66.7) | 3 (100.0) | 5 ( 62.5) | 8 ( 72.7) | 14 ( 77.8)
Asian | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0) | 2 ( 25.0) | 2 ( 18.2) | 2 ( 11.1)
Black or African American | 0 ( 0.0) | 1 ( 33.3) | 0 ( 0.0) | 1 ( 12.5) | 1 ( 9.1) | 2 ( 11.1)
American Indian or Alaska Native | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0)
Native Hawaiian or Other Pacific Islander | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0)
Multiple | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0)
Other | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0)
Not Reported | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0) | 0 ( 0.0)
Ethnicity, n (%) |  |  |  |  |  | 
Hispanic or Latino | 1 ( 25.0) | 0 ( 0.0) | 0 ( 0.0) | 3 ( 37.5) | 3 ( 27.3) | 4 ( 22.2)
Not Hispanic or Latino | 3 ( 75.0) | 3 (100.0) | 3 (100.0) | 5 ( 62.5) | 8 ( 72.7) | 14 ( 77.8)
Height (cm) |  |  |  |  |  | 
n | 4 | 3 | 3 | 7 | 10 | 17
Mean | 167.5 | 164.7 | 173.7 | 174.6 | 174.3 | 171.0
Standard deviation | 9.18 | 7.51 | 17.01 | 7.09 | 9.90 | 9.77
Median | 166.0 | 165.0 | 173.0 | 173.0 | 173.0 | 171.0
Minimum | 158 | 157 | 157 | 167 | 157 | 157
Maximum | 180 | 172 | 191 | 186 | 191 | 191
Weight (kg) |  |  |  |  |  | 
n | 4 | 3 | 3 | 7 | 10 | 17
Mean | 77.35 | 72.77 | 67.63 | 76.47 | 73.82 | 74.46
Standard deviation | 15.411 | 13.866 | 11.907 | 16.433 | 15.158 | 14.166
Median | 79.45 | 70.30 | 62.10 | 72.70 | 72.60 | 72.50
Minimum | 58.9 | 60.3 | 59.5 | 54.0 | 54.0 | 54.0
Maximum | 91.6 | 87.7 | 81.3 | 107.0 | 107.0 | 107.0
